Volatility 3 Framework 2.28.0

PID	Process	Block	Variable	Value
412	winlogon.exe	0x3b18f0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
412	winlogon.exe	0x3b18f0	PROCESSOR_LEVEL	6
412	winlogon.exe	0x3b18f0	PROCESSOR_REVISION	8e09
412	winlogon.exe	0x3b18f0	ProgramData	C:\ProgramData
412	winlogon.exe	0x3b18f0	ProgramFiles	C:\Program Files
412	winlogon.exe	0x3b18f0	ProgramFiles(x86)	C:\Program Files (x86)
412	winlogon.exe	0x3b18f0	ProgramW6432	C:\Program Files
412	winlogon.exe	0x3b18f0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
412	winlogon.exe	0x3b18f0	PUBLIC	C:\Users\Public
412	winlogon.exe	0x3b18f0	SystemDrive	C:
412	winlogon.exe	0x3b18f0	SystemRoot	C:\Windows
412	winlogon.exe	0x3b18f0	TEMP	C:\Windows\TEMP
412	winlogon.exe	0x3b18f0	TMP	C:\Windows\TEMP
412	winlogon.exe	0x3b18f0	USERNAME	SYSTEM
412	winlogon.exe	0x3b18f0	USERPROFILE	C:\Windows\system32\config\systemprofile
412	winlogon.exe	0x3b18f0	windir	C:\Windows
412	winlogon.exe	0x3b18f0	windows_tracing_flags	3
412	winlogon.exe	0x3b18f0	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
472	services.exe	0x221c30	ALLUSERSPROFILE	C:\ProgramData
472	services.exe	0x221c30	CommonProgramFiles	C:\Program Files\Common Files
472	services.exe	0x221c30	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
472	services.exe	0x221c30	CommonProgramW6432	C:\Program Files\Common Files
472	services.exe	0x221c30	COMPUTERNAME	2PAC
472	services.exe	0x221c30	ComSpec	C:\Windows\system32\cmd.exe
472	services.exe	0x221c30	FP_NO_HOST_CHECK	NO
472	services.exe	0x221c30	NUMBER_OF_PROCESSORS	1
472	services.exe	0x221c30	OS	Windows_NT
472	services.exe	0x221c30	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
472	services.exe	0x221c30	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
472	services.exe	0x221c30	PROCESSOR_ARCHITECTURE	AMD64
472	services.exe	0x221c30	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
472	services.exe	0x221c30	PROCESSOR_LEVEL	6
472	services.exe	0x221c30	PROCESSOR_REVISION	8e09
472	services.exe	0x221c30	ProgramData	C:\ProgramData
472	services.exe	0x221c30	ProgramFiles	C:\Program Files
472	services.exe	0x221c30	ProgramFiles(x86)	C:\Program Files (x86)
472	services.exe	0x221c30	ProgramW6432	C:\Program Files
472	services.exe	0x221c30	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
472	services.exe	0x221c30	PUBLIC	C:\Users\Public
472	services.exe	0x221c30	SystemDrive	C:
472	services.exe	0x221c30	SystemRoot	C:\Windows
472	services.exe	0x221c30	TEMP	C:\Windows\TEMP
472	services.exe	0x221c30	TMP	C:\Windows\TEMP
472	services.exe	0x221c30	USERNAME	SYSTEM
472	services.exe	0x221c30	USERPROFILE	C:\Windows\system32\config\systemprofile
472	services.exe	0x221c30	windir	C:\Windows
472	services.exe	0x221c30	windows_tracing_flags	3
472	services.exe	0x221c30	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
480	lsass.exe	0x2d1c30	ALLUSERSPROFILE	C:\ProgramData
480	lsass.exe	0x2d1c30	CommonProgramFiles	C:\Program Files\Common Files
480	lsass.exe	0x2d1c30	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
480	lsass.exe	0x2d1c30	CommonProgramW6432	C:\Program Files\Common Files
480	lsass.exe	0x2d1c30	COMPUTERNAME	2PAC
480	lsass.exe	0x2d1c30	ComSpec	C:\Windows\system32\cmd.exe
480	lsass.exe	0x2d1c30	FP_NO_HOST_CHECK	NO
480	lsass.exe	0x2d1c30	NUMBER_OF_PROCESSORS	1
480	lsass.exe	0x2d1c30	OS	Windows_NT
480	lsass.exe	0x2d1c30	Path	C:\Windows\System32
480	lsass.exe	0x2d1c30	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
480	lsass.exe	0x2d1c30	PROCESSOR_ARCHITECTURE	AMD64
480	lsass.exe	0x2d1c30	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
480	lsass.exe	0x2d1c30	PROCESSOR_LEVEL	6
480	lsass.exe	0x2d1c30	PROCESSOR_REVISION	8e09
480	lsass.exe	0x2d1c30	ProgramData	C:\ProgramData
480	lsass.exe	0x2d1c30	ProgramFiles	C:\Program Files
480	lsass.exe	0x2d1c30	ProgramFiles(x86)	C:\Program Files (x86)
480	lsass.exe	0x2d1c30	ProgramW6432	C:\Program Files
480	lsass.exe	0x2d1c30	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
480	lsass.exe	0x2d1c30	PUBLIC	C:\Users\Public
480	lsass.exe	0x2d1c30	SystemDrive	C:
480	lsass.exe	0x2d1c30	SystemRoot	C:\Windows
480	lsass.exe	0x2d1c30	TEMP	C:\Windows\TEMP
480	lsass.exe	0x2d1c30	TMP	C:\Windows\TEMP
480	lsass.exe	0x2d1c30	USERNAME	SYSTEM
480	lsass.exe	0x2d1c30	USERPROFILE	C:\Windows\system32\config\systemprofile
480	lsass.exe	0x2d1c30	windir	C:\Windows
480	lsass.exe	0x2d1c30	windows_tracing_flags	3
480	lsass.exe	0x2d1c30	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
480	lsass.exe	0x2d1c30	_flags	3
480	lsass.exe	0x2d1c30	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
488	lsm.exe	0x1d1c30	ALLUSERSPROFILE	C:\ProgramData
488	lsm.exe	0x1d1c30	CommonProgramFiles	C:\Program Files\Common Files
488	lsm.exe	0x1d1c30	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
488	lsm.exe	0x1d1c30	CommonProgramW6432	C:\Program Files\Common Files
488	lsm.exe	0x1d1c30	COMPUTERNAME	2PAC
488	lsm.exe	0x1d1c30	ComSpec	C:\Windows\system32\cmd.exe
488	lsm.exe	0x1d1c30	FP_NO_HOST_CHECK	NO
488	lsm.exe	0x1d1c30	NUMBER_OF_PROCESSORS	1
488	lsm.exe	0x1d1c30	OS	Windows_NT
488	lsm.exe	0x1d1c30	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
488	lsm.exe	0x1d1c30	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
488	lsm.exe	0x1d1c30	PROCESSOR_ARCHITECTURE	AMD64
488	lsm.exe	0x1d1c30	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
488	lsm.exe	0x1d1c30	PROCESSOR_LEVEL	6
488	lsm.exe	0x1d1c30	PROCESSOR_REVISION	8e09
488	lsm.exe	0x1d1c30	ProgramData	C:\ProgramData
488	lsm.exe	0x1d1c30	ProgramFiles	C:\Program Files
488	lsm.exe	0x1d1c30	ProgramFiles(x86)	C:\Program Files (x86)
488	lsm.exe	0x1d1c30	ProgramW6432	C:\Program Files
488	lsm.exe	0x1d1c30	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
488	lsm.exe	0x1d1c30	PUBLIC	C:\Users\Public
488	lsm.exe	0x1d1c30	SystemDrive	C:
488	lsm.exe	0x1d1c30	SystemRoot	C:\Windows
488	lsm.exe	0x1d1c30	TEMP	C:\Windows\TEMP
488	lsm.exe	0x1d1c30	TMP	C:\Windows\TEMP
488	lsm.exe	0x1d1c30	USERNAME	SYSTEM
488	lsm.exe	0x1d1c30	USERPROFILE	C:\Windows\system32\config\systemprofile
488	lsm.exe	0x1d1c30	windir	C:\Windows
488	lsm.exe	0x1d1c30	windows_tracing_flags	3
488	lsm.exe	0x1d1c30	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
580	svchost.exe	0x311d60	ALLUSERSPROFILE	C:\ProgramData
580	svchost.exe	0x311d60	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
580	svchost.exe	0x311d60	CommonProgramFiles	C:\Program Files\Common Files
580	svchost.exe	0x311d60	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
580	svchost.exe	0x311d60	CommonProgramW6432	C:\Program Files\Common Files
580	svchost.exe	0x311d60	COMPUTERNAME	2PAC
580	svchost.exe	0x311d60	ComSpec	C:\Windows\system32\cmd.exe
580	svchost.exe	0x311d60	FP_NO_HOST_CHECK	NO
580	svchost.exe	0x311d60	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
580	svchost.exe	0x311d60	NUMBER_OF_PROCESSORS	1
580	svchost.exe	0x311d60	OS	Windows_NT
580	svchost.exe	0x311d60	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
580	svchost.exe	0x311d60	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
580	svchost.exe	0x311d60	PROCESSOR_ARCHITECTURE	AMD64
580	svchost.exe	0x311d60	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
580	svchost.exe	0x311d60	PROCESSOR_LEVEL	6
580	svchost.exe	0x311d60	PROCESSOR_REVISION	8e09
580	svchost.exe	0x311d60	ProgramData	C:\ProgramData
580	svchost.exe	0x311d60	ProgramFiles	C:\Program Files
580	svchost.exe	0x311d60	ProgramFiles(x86)	C:\Program Files (x86)
580	svchost.exe	0x311d60	ProgramW6432	C:\Program Files
580	svchost.exe	0x311d60	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
580	svchost.exe	0x311d60	PUBLIC	C:\Users\Public
580	svchost.exe	0x311d60	SystemDrive	C:
580	svchost.exe	0x311d60	SystemRoot	C:\Windows
580	svchost.exe	0x311d60	TEMP	C:\Windows\TEMP
580	svchost.exe	0x311d60	TMP	C:\Windows\TEMP
580	svchost.exe	0x311d60	USERDOMAIN	WORKGROUP
580	svchost.exe	0x311d60	USERNAME	2PAC$
580	svchost.exe	0x311d60	USERPROFILE	C:\Windows\system32\config\systemprofile
580	svchost.exe	0x311d60	windir	C:\Windows
580	svchost.exe	0x311d60	windows_tracing_flags	3
580	svchost.exe	0x311d60	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
640	VBoxService.ex	0x181d60	ALLUSERSPROFILE	C:\ProgramData
640	VBoxService.ex	0x181d60	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
640	VBoxService.ex	0x181d60	CommonProgramFiles	C:\Program Files\Common Files
640	VBoxService.ex	0x181d60	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
640	VBoxService.ex	0x181d60	CommonProgramW6432	C:\Program Files\Common Files
640	VBoxService.ex	0x181d60	COMPUTERNAME	2PAC
640	VBoxService.ex	0x181d60	ComSpec	C:\Windows\system32\cmd.exe
640	VBoxService.ex	0x181d60	FP_NO_HOST_CHECK	NO
640	VBoxService.ex	0x181d60	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
640	VBoxService.ex	0x181d60	NUMBER_OF_PROCESSORS	1
640	VBoxService.ex	0x181d60	OS	Windows_NT
640	VBoxService.ex	0x181d60	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;
640	VBoxService.ex	0x181d60	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
640	VBoxService.ex	0x181d60	PROCESSOR_ARCHITECTURE	AMD64
640	VBoxService.ex	0x181d60	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
640	VBoxService.ex	0x181d60	PROCESSOR_LEVEL	6
640	VBoxService.ex	0x181d60	PROCESSOR_REVISION	8e09
640	VBoxService.ex	0x181d60	ProgramData	C:\ProgramData
640	VBoxService.ex	0x181d60	ProgramFiles	C:\Program Files
640	VBoxService.ex	0x181d60	ProgramFiles(x86)	C:\Program Files (x86)
640	VBoxService.ex	0x181d60	ProgramW6432	C:\Program Files
640	VBoxService.ex	0x181d60	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
640	VBoxService.ex	0x181d60	PUBLIC	C:\Users\Public
640	VBoxService.ex	0x181d60	SystemDrive	C:
640	VBoxService.ex	0x181d60	SystemRoot	C:\Windows
640	VBoxService.ex	0x181d60	TEMP	C:\Windows\TEMP
640	VBoxService.ex	0x181d60	TMP	C:\Windows\TEMP
640	VBoxService.ex	0x181d60	USERDOMAIN	WORKGROUP
640	VBoxService.ex	0x181d60	USERNAME	2PAC$
640	VBoxService.ex	0x181d60	USERPROFILE	C:\Windows\system32\config\systemprofile
640	VBoxService.ex	0x181d60	windir	C:\Windows
640	VBoxService.ex	0x181d60	windows_tracing_flags	3
640	VBoxService.ex	0x181d60	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
708	svchost.exe	0x341de0	ALLUSERSPROFILE	C:\ProgramData
708	svchost.exe	0x341de0	APPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Roaming
708	svchost.exe	0x341de0	CommonProgramFiles	C:\Program Files\Common Files
708	svchost.exe	0x341de0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
708	svchost.exe	0x341de0	CommonProgramW6432	C:\Program Files\Common Files
708	svchost.exe	0x341de0	COMPUTERNAME	2PAC
708	svchost.exe	0x341de0	ComSpec	C:\Windows\system32\cmd.exe
708	svchost.exe	0x341de0	FP_NO_HOST_CHECK	NO
708	svchost.exe	0x341de0	LOCALAPPDATA	C:\Windows\ServiceProfiles\NetworkService\AppData\Local
708	svchost.exe	0x341de0	NUMBER_OF_PROCESSORS	1
708	svchost.exe	0x341de0	OS	Windows_NT
708	svchost.exe	0x341de0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
708	svchost.exe	0x341de0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
708	svchost.exe	0x341de0	PROCESSOR_ARCHITECTURE	AMD64
708	svchost.exe	0x341de0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
708	svchost.exe	0x341de0	PROCESSOR_LEVEL	6
708	svchost.exe	0x341de0	PROCESSOR_REVISION	8e09
708	svchost.exe	0x341de0	ProgramData	C:\ProgramData
708	svchost.exe	0x341de0	ProgramFiles	C:\Program Files
708	svchost.exe	0x341de0	ProgramFiles(x86)	C:\Program Files (x86)
708	svchost.exe	0x341de0	ProgramW6432	C:\Program Files
708	svchost.exe	0x341de0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
708	svchost.exe	0x341de0	PUBLIC	C:\Users\Public
708	svchost.exe	0x341de0	SystemDrive	C:
708	svchost.exe	0x341de0	SystemRoot	C:\Windows
708	svchost.exe	0x341de0	TEMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
708	svchost.exe	0x341de0	TMP	C:\Windows\SERVIC~2\NETWOR~1\AppData\Local\Temp
708	svchost.exe	0x341de0	USERDOMAIN	WORKGROUP
708	svchost.exe	0x341de0	USERNAME	2PAC$
708	svchost.exe	0x341de0	USERPROFILE	C:\Windows\ServiceProfiles\NetworkService
708	svchost.exe	0x341de0	windir	C:\Windows
708	svchost.exe	0x341de0	windows_tracing_flags	3
708	svchost.exe	0x341de0	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
804	svchost.exe	0x141df0	ALLUSERSPROFILE	C:\ProgramData
804	svchost.exe	0x141df0	APPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming
804	svchost.exe	0x141df0	CommonProgramFiles	C:\Program Files\Common Files
804	svchost.exe	0x141df0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
804	svchost.exe	0x141df0	CommonProgramW6432	C:\Program Files\Common Files
804	svchost.exe	0x141df0	COMPUTERNAME	2PAC
804	svchost.exe	0x141df0	ComSpec	C:\Windows\system32\cmd.exe
804	svchost.exe	0x141df0	FP_NO_HOST_CHECK	NO
804	svchost.exe	0x141df0	LOCALAPPDATA	C:\Windows\ServiceProfiles\LocalService\AppData\Local
804	svchost.exe	0x141df0	NUMBER_OF_PROCESSORS	1
804	svchost.exe	0x141df0	OS	Windows_NT
804	svchost.exe	0x141df0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
804	svchost.exe	0x141df0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
804	svchost.exe	0x141df0	PROCESSOR_ARCHITECTURE	AMD64
804	svchost.exe	0x141df0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
804	svchost.exe	0x141df0	PROCESSOR_LEVEL	6
804	svchost.exe	0x141df0	PROCESSOR_REVISION	8e09
804	svchost.exe	0x141df0	ProgramData	C:\ProgramData
804	svchost.exe	0x141df0	ProgramFiles	C:\Program Files
804	svchost.exe	0x141df0	ProgramFiles(x86)	C:\Program Files (x86)
804	svchost.exe	0x141df0	ProgramW6432	C:\Program Files
804	svchost.exe	0x141df0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
804	svchost.exe	0x141df0	PUBLIC	C:\Users\Public
804	svchost.exe	0x141df0	SystemDrive	C:
804	svchost.exe	0x141df0	SystemRoot	C:\Windows
804	svchost.exe	0x141df0	TEMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
804	svchost.exe	0x141df0	TMP	C:\Windows\SERVIC~2\LOCALS~1\AppData\Local\Temp
804	svchost.exe	0x141df0	USERDOMAIN	NT AUTHORITY
804	svchost.exe	0x141df0	USERNAME	LOCAL SERVICE
804	svchost.exe	0x141df0	USERPROFILE	C:\Windows\ServiceProfiles\LocalService
804	svchost.exe	0x141df0	windir	C:\Windows
804	svchost.exe	0x141df0	windows_tracing_flags	3
804	svchost.exe	0x141df0	windows_tracing_logfile	C:\BVTBin\Tests\installpackage\csilogfile.log
840	svchost.exe	0x291d60	ALLUSERSPROFILE	C:\ProgramData
840	svchost.exe	0x291d60	APPDATA	C:\Windows\system32\config\systemprofile\AppData\Roaming
840	svchost.exe	0x291d60	CommonProgramFiles	C:\Program Files\Common Files
840	svchost.exe	0x291d60	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
840	svchost.exe	0x291d60	CommonProgramW6432	C:\Program Files\Common Files
840	svchost.exe	0x291d60	COMPUTERNAME	2PAC
840	svchost.exe	0x291d60	ComSpec	C:\Windows\system32\cmd.exe
840	svchost.exe	0x291d60	FP_NO_HOST_CHECK	NO
840	svchost.exe	0x291d60	LOCALAPPDATA	C:\Windows\system32\config\systemprofile\AppData\Local
840	svchost.exe	0x291d60	NUMBER_OF_PROCESSORS	1
840	svchost.exe	0x291d60	OS	Windows_NT
840	svchost.exe	0x291d60	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
840	svchost.exe	0x291d60	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
840	svchost.exe	0x291d60	PROCESSOR_ARCHITECTURE	AMD64
840	svchost.exe	0x291d60	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 142 Stepping 9, GenuineIntel
840	svchost.exe	0x291d60	PROCESSOR_LEVEL	6
840	svchost.exe	0x291d60	PROCESSOR_REVISION	8e09
840	svchost.exe	0x291d60	ProgramData	C:\ProgramData
840	svchost.exe	0x291d60	ProgramFiles	C:\Program Files
840	svchost.exe	0x291d60	ProgramFiles(x86)	C:\Program Files (x86)
840	svchost.exe	0x291d60	ProgramW6432	C:\Program Files
840	svchost.exe	0x291d60	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
840	svchost.exe	0x291d60	PUBLIC	C:\Users\Public
840	svchost.exe	0x291d60	SystemDrive	C:
840	svchost.exe	0x291d60	SystemRoot	C:\Windows
840	svchost.exe	0x291d60	TEMP	C:\Windows\TEMP
840	svchost.exe	0x291d60	TMP	C:\Windows\TEMP
840	svchost.exe	0x291d60	USERDOMAIN	WORKGROUP
840	svchost.exe	0x291d60	USERNAME	2PAC$
